,sna,tot,sbi,sarea,mday,ar,bemp,act
129,YouBike2.0_臥龍街195巷口,14,4,大安區,2023-06-03 17:06:15,臥龍街/臥龍街195巷(南側),10,1
130,YouBike2.0_辛亥路三段157巷口,19,4,大安區,2023-06-03 17:11:14,辛亥路三段與辛亥路三段157巷口西北側,15,1
134,YouBike2.0_和平敦化路口,25,2,大安區,2023-06-03 17:11:14,和平東路三段 / 敦化南路二段口(東側),23,1
135,YouBike2.0_基隆長興路口,43,0,大安區,2023-06-03 15:58:04,基隆路/長興街(東南側),43,1
136,YouBike2.0_仁愛路四段122巷口,16,3,大安區,2023-06-03 17:11:14,仁愛路四段118號前,13,1
137,YouBike2.0_市民敦化路口,15,3,大安區,2023-06-03 17:13:15,敦化南路一段111號前,12,1
140,YouBike2.0_和平新生路口西南側,13,1,大安區,2023-06-03 17:07:16,新生南路三段2號前,12,1
141,YouBike2.0_全安公園,16,1,大安區,2023-06-03 17:13:15,安和路二段227巷16號對側,15,1
142,YouBike2.0_信義路三段134巷口,19,1,大安區,2023-06-03 17:12:15,信義路三段/信義路三段134巷口,18,1
144,YouBike2.0_臺北遠企購物中心,33,0,大安區,2023-06-03 17:06:04,敦化南路二段201號前,33,1
145,YouBike2.0_外交部外交及國際事務學院,17,0,大安區,2023-06-03 17:03:04,敦化南路一段280號,17,1
146,YouBike2.0_四維路170巷口,22,1,大安區,2023-06-03 17:12:15,敦化南路二段92號對側中央分隔島,20,1
147,YouBike2.0_捷運大安站(3號出口),44,3,大安區,2023-06-03 17:13:15,信義路三段184號前,41,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,2,大安區,2023-06-03 17:13:05,羅斯福路三段201號旁,29,1
149,YouBike2.0_信義路四段199巷,15,2,大安區,2023-06-03 17:12:15,信義路四段199巷/安和路一段90巷口,13,1
151,YouBike2.0_敦化南路二段81巷,40,0,大安區,2023-06-03 17:08:04,敦化南路二段與敦化南路二段81巷口西北側,40,1
152,YouBike2.0_原臺北刑務所官舍,23,0,大安區,2023-06-03 17:13:05,金華街78號對側,23,1
155,YouBike2.0_仁愛敦南圓環(西北側),20,2,大安區,2023-06-03 17:05:15,仁愛路四段85號前,18,1
156,YouBike2.0_立人國小,17,4,大安區,2023-06-03 17:10:20,安和路二段/敦化南路二段81巷(西南側),13,1
158,YouBike2.0_捷運大安站(5號出口),19,0,大安區,2023-06-03 17:13:15,復興南路二段/信義路四段(東南側),17,1
159,YouBike2.0_臨江公園,13,3,大安區,2023-06-03 17:11:14,通化街143巷33號對側,10,1
161,YouBike2.0_忠孝東路四段248巷口,15,2,大安區,2023-06-03 17:13:15,忠孝東路四段230號前,13,1
162,YouBike2.0_仁愛延吉路口(西北側),18,2,大安區,2023-06-03 17:09:14,仁愛路四段363號前,16,1
163,YouBike2.0_樂利路101巷口,13,1,大安區,2023-06-03 17:04:04,樂利路97號前,12,1
165,YouBike2.0_敦化南路一段295巷口,18,2,大安區,2023-06-03 16:26:15,敦化南路一段295巷1號,15,1
167,YouBike2.0_臺北市立圖書館大同分館,20,2,大同區,2023-06-03 16:59:04,重慶北路三段318號旁,18,1
169,YouBike2.0_民族延平路口,23,5,大同區,2023-06-03 17:13:15,延平北路三段123號北側,18,1
170,YouBike2.0_重慶酒泉街口,30,1,大同區,2023-06-03 17:11:14,重慶北路三段260號前,29,1
171,YouBike2.0_樹德公園,14,0,大同區,2023-06-03 16:56:04,大龍街85巷12號對側,14,1
173,YouBike2.0_臺北孔廟,27,4,大同區,2023-06-03 17:13:15,哈密街61號口對側人行道,23,1
174,YouBike2.0_捷運圓山站(1號出口),44,5,大同區,2023-06-03 17:12:15,酒泉街235號前,39,1
175,YouBike2.0_酒泉延平路口,26,4,大同區,2023-06-03 17:13:15,酒泉街235號前,22,1
177,YouBike2.0_重慶北路三段383巷口,25,3,大同區,2023-06-03 17:13:15,敦煌路與重慶北路三段383巷口,22,1
178,YouBike2.0_台北數位產業園區,24,0,大同區,2023-06-03 16:57:04,承德路三段287號前方,24,1
179,YouBike2.0_民權延平路口(西北側),20,0,大同區,2023-06-03 16:46:04,民權西路239號前方,20,1
180,YouBike2.0_民權迪化街口,23,2,大同區,2023-06-03 17:12:15,民權西路與迪化街一段口(橋墩下),21,1
182,YouBike2.0_大龍老人住宅,14,3,大同區,2023-06-03 17:07:16,民族西路82號前方,11,1
183,YouBike2.0_大龍峒社會住宅,20,0,大同區,2023-06-03 16:53:03,承德路三段210號旁,20,1
184,YouBike2.0_捷運大橋頭站(2號出口),57,1,大同區,2023-06-03 17:13:05,捷運大橋頭站(2號出口)西側,56,1
185,YouBike2.0_捷運大橋頭站(1A出口),18,1,大同區,2023-06-03 17:10:10,民權西路237號旁,17,1
186,YouBike2.0_捷運民權西路站(2號出口),25,1,大同區,2023-06-03 17:08:14,捷運民權西路站(2號出口)西側,24,1
187,YouBike2.0_捷運雙連站(2號出口),41,3,大同區,2023-06-03 17:11:14,萬全街22號對面,38,1
189,YouBike2.0_朝陽公園,10,5,大同區,2023-06-03 17:08:14,重慶北路二段62-1號旁,5,1
190,YouBike2.0_永樂市場,38,0,大同區,2023-06-03 17:13:05,南京西路233巷103號旁,36,1
191,YouBike2.0_大龍公園,18,0,大同區,2023-06-03 17:07:04,大龍街217號對側,18,1
192,YouBike2.0_重慶涼州街口,13,0,大同區,2023-06-03 16:59:04,重慶北路二段180號旁,13,1
193,YouBike2.0_圓山線形公園,14,5,大同區,2023-06-03 17:10:20,玉門街/民族西路(西北側),9,1
194,YouBike2.0_圓環站,28,1,大同區,2023-06-03 17:12:04,重慶北路一段128號前,27,1
196,YouBike2.0_承德路三段8巷口,16,2,大同區,2023-06-03 17:13:15,承德路三段14號前,14,1
200,YouBike2.0_蔣渭水紀念公園,24,0,大同區,2023-06-03 16:45:04,錦西街/興城街口(西南側),24,1
201,YouBike2.0_迪化休閒運動公園,15,1,大同區,2023-06-03 17:12:15,延平北路四段200號(南側),14,1
202,YouBike2.0_大同運動中心,16,5,大同區,2023-06-03 17:12:15,大龍街51號(旁),11,1
203,YouBike2.0_重慶保安街口(家樂福重慶店),20,3,大同區,2023-06-03 17:13:15,重慶北路二段171號(旁),17,1
205,YouBike2.0_歸綏戲曲公園,20,0,大同區,2023-06-03 16:56:04,重慶北路二段/歸綏街口(南側),20,1
206,YouBike2.0_民權國中(民權西路),17,0,大同區,2023-06-03 16:35:04,民權西路/蘭州街(西側),17,1
207,YouBike2.0_承德民權路口,17,0,大同區,2023-06-03 16:57:04,承德路二段239號前,17,1
208,YouBike2.0_南京太原路口,18,0,大同區,2023-06-03 17:09:04,南京西路/太原路(東側),18,1
209,YouBike2.0_承德民生西路口,11,0,大同區,2023-06-03 17:12:15,承德路二段137號前,11,1
210,YouBike2.0_太原五原路口,24,1,大同區,2023-06-03 17:13:15,太原路 / 五原路口(東南側),23,1
212,YouBike2.0_捷運民權西路站(3號出口),50,4,大同區,2023-06-03 17:13:15,民權西路70巷37號對面,46,1
213,YouBike2.0_捷運中山站(5號出口),11,3,大同區,2023-06-03 17:12:15,南京西路57號前,8,1
214,YouBike2.0_重慶長安路口,15,3,大同區,2023-06-03 17:13:15,長安西路244號(重慶路側),12,1
215,YouBike2.0_承德昌吉街口,18,2,大同區,2023-06-03 17:08:15,承德路三段83號前,16,1
217,YouBike2.0_捷運圓山站(2號出口),37,1,大同區,2023-06-03 17:13:15,承德路三段/庫倫街(東南側),36,1
218,YouBike2.0_樹德公園_1,21,2,大同區,2023-06-03 17:12:15,大龍街/大龍街85巷(東北側),19,1
219,YouBike2.0_承德鄭州路口(市民高架下),38,4,大同區,2023-06-03 17:12:15,承德路一段/鄭州路口(市民高架下),34,1
220,YouBike2.0_成淵高中,14,1,大同區,2023-06-03 17:12:15,錦西街與錦西街52巷口東北側,13,1
221,YouBike2.0_雙蓮國小,20,1,大同區,2023-06-03 17:12:04,民權西路102巷4弄25號對側人行道,19,1
222,YouBike2.0_寧夏涼州街口,15,0,大同區,2023-06-03 16:51:04,寧夏路141號對側,15,1
223,YouBike2.0_延平涼州街口,14,2,大同區,2023-06-03 17:03:14,延平北路二段/涼州街口(行人天橋下),12,1
224,YouBike2.0_劍潭抽水站,17,1,士林區,2023-06-03 16:58:04,通河東街325巷/通河東街口,15,1
226,YouBike2.0_福港街停車場,22,4,士林區,2023-06-03 17:10:20,華齡街175號(旁),18,1
228,YouBike2.0_雨聲街165巷口,15,5,士林區,2023-06-03 17:12:15,雨聲街/雨聲街165巷(西北側),10,1
229,YouBike2.0_天和公園,13,3,士林區,2023-06-03 17:11:14,天母東路69巷30號(前方路側),10,1
232,YouBike2.0_臺北市立大學(天母校區),23,2,士林區,2023-06-03 17:11:14,士東路276號至280號對面人行道,21,1
